calendarDate,maxHeartRate,minHeartRate,restingHeartRate,lastSevenDaysAvgRestingHeartRate
2020-01-15,135.0,49.0,64.0,60.0
2020-01-16,153.0,52.0,55.0,60.0
2020-01-17,131.0,43.0,57.0,59.0
2020-01-18,145.0,39.0,43.0,56.0
2020-01-19,141.0,47.0,57.0,56.0
2020-01-20,149.0,54.0,57.0,56.0
2020-01-21,134.0,45.0,57.0,56.0
2020-01-22,131.0,42.0,56.0,55.0
2020-01-23,138.0,49.0,57.0,55.0
2020-01-24,136.0,53.0,60.0,55.0
2020-01-25,126.0,49.0,59.0,58.0
2020-01-26,160.0,56.0,59.0,58.0
2020-01-27,122.0,48.0,59.0,58.0
2020-01-28,145.0,49.0,60.0,59.0
2020-01-29,122.0,39.0,46.0,57.0
2020-01-30,162.0,53.0,57.0,57.0
2020-01-31,129.0,51.0,57.0,57.0
2020-02-01,171.0,51.0,62.0,57.0
2020-02-02,120.0,53.0,62.0,58.0
2020-02-03,123.0,41.0,62.0,58.0
2020-02-04,154.0,39.0,54.0,57.0
2020-02-05,120.0,55.0,61.0,59.0
2020-02-06,123.0,51.0,61.0,60.0
2020-02-07,170.0,55.0,62.0,61.0
2020-02-08,126.0,42.0,69.0,62.0
2020-02-09,169.0,54.0,63.0,62.0
2020-02-10,137.0,52.0,61.0,62.0
2020-02-11,163.0,36.0,44.0,60.0
2020-02-12,135.0,52.0,64.0,61.0
2020-02-13,119.0,50.0,58.0,60.0
2020-02-14,155.0,52.0,65.0,61.0
2020-02-15,130.0,42.0,55.0,59.0
2020-02-16,160.0,55.0,59.0,58.0
2020-02-17,133.0,54.0,64.0,58.0
2020-02-18,117.0,52.0,60.0,61.0
2020-02-19,163.0,49.0,58.0,60.0
2020-02-20,133.0,44.0,58.0,60.0
2020-02-21,120.0,45.0,56.0,59.0
2020-02-22,170.0,39.0,53.0,58.0
2020-02-23,119.0,45.0,61.0,59.0
2020-02-24,138.0,49.0,49.0,56.0
2020-02-25,136.0,56.0,63.0,57.0
2020-02-26,157.0,53.0,56.0,57.0
2020-02-27,123.0,48.0,57.0,56.0
2020-02-28,162.0,47.0,61.0,57.0
2020-02-29,167.0,44.0,63.0,59.0
2020-03-01,125.0,48.0,65.0,59.0
2020-03-02,124.0,46.0,61.0,61.0
2020-03-03,159.0,46.0,60.0,60.0
2020-03-04,134.0,45.0,51.0,60.0
2020-03-05,142.0,43.0,57.0,60.0
2020-03-06,153.0,47.0,58.0,59.0
2020-03-07,121.0,54.0,60.0,59.0
2020-03-08,121.0,54.0,57.0,58.0
2020-03-09,158.0,52.0,62.0,58.0
2020-03-10,124.0,51.0,60.0,58.0
2020-03-11,182.0,41.0,60.0,59.0
2020-03-12,140.0,57.0,61.0,60.0
2020-03-13,156.0,52.0,60.0,60.0
2020-03-14,122.0,52.0,65.0,61.0
2020-03-15,120.0,58.0,62.0,61.0
2020-03-16,175.0,41.0,61.0,61.0
2020-03-17,164.0,53.0,60.0,61.0
2020-03-18,161.0,48.0,55.0,61.0
2020-03-19,150.0,51.0,58.0,60.0
2020-03-20,162.0,51.0,62.0,60.0
2020-03-21,138.0,42.0,61.0,60.0
2020-03-22,133.0,53.0,58.0,59.0
2020-03-23,153.0,53.0,60.0,59.0
2020-03-24,159.0,51.0,59.0,59.0
2020-03-25,131.0,54.0,66.0,61.0
2020-03-26,143.0,49.0,62.0,61.0
2020-03-27,156.0,57.0,66.0,62.0
2020-03-28,118.0,57.0,65.0,62.0
